,iata_code,name
12602,BCW,Benguera Island Airport
12603,BCZ,Milyakburra Airport
12626,ILL,Willmar Municipal -John L Rice Field
12627,BDZ,Baindoung Airport
12646,BEA,Bereina Airport
12728,HKV,Malevo Airport
12729,JAM,Bezmer Air Base
12730,JEG,Aasiaat Airport
12731,AOQ,Aappilattoq (Qaasuitsup) Heliport
12732,AGM,Tasiilaq Heliport
12737,QGQ,Attu Heliport
12738,UAK,Narsarsuaq Airport
12739,JCH,Qasigiannguit Heliport
12740,CNP,Neerlerit Inaat Airport
12743,DUN,Dundas Airport
12744,QFG,Eqalugaarsuit Heliport
12748,GOH,Godthaab / Nuuk Airport
12749,JGO,Qeqertarsuaq Heliport
12751,QFI,Iginniarfik
12752,QRY,Ikerassaarsuk Heliport
12753,XIQ,Ilimanaq Heliport
12754,IUI,Innarsuit Heliport
12755,IOQ,Isortoq Heliport
12756,QJI,Ikamiut Heliport
12757,JJU,Qaqortoq Heliport
12758,JAV,Ilulissat Airport
12759,QPW,Kangaatsiaq Heliport
12760,KUS,Kulusuk Airport
12762,KUZ,Kuummiut Heliport
12763,KHQ,Kullorsuaq Heliport
12764,KGQ,Kangersuatsiaq Heliport
12765,QJE,Kitsissuarsuit Heliport
12769,JSU,Maniitsoq Airport
12773,JNN,Nanortalik Heliport
12776,JNS,Narsaq Heliport
12777,NIQ,Niaqornat Heliport
12778,NSQ,Nuussuaq Heliport
12779,BGP,Bongo Airport
12781,JFR,Paamiut Airport
12782,QQT,Qeqertaq Heliport
12783,NAQ,Qaanaaq Airport
12785,OBY,Ittoqqortoormiit Heliport
12786,SFJ,Kangerlussuaq Airport
12788,SRK,Siorapaluk Heliport
12789,QOQ,Saarloq Heliport
12791,JHS,Sisimiut Airport
12793,SVR,Savissivik Heliport
12794,TQA,Tasiusaq (Qaasuitsup) Heliport
12795,THU,Thule Air Base
12796,TQI,Tiniteqilaaq Heliport
12798,JUV,Upernavik Airport
12799,UMD,Uummannaq Heliport
12800,JQA,Qaarsut Airport
12801,JUK,Ukkusissat Heliport
12810,BHL,Bahía de los Ángeles Airport
12811,BHT,Brighton Downs Airport
12816,AEY,Akureyri Airport
12818,BIU,Bildudalur Airport
12819,BGJ,Borgarfjörður eystri Airport
12821,BJD,Bakkafjörður Airport
12822,BLO,Hjaltabakki Airport
12823,BQD,Búðardalur Airport
12824,BXV,Breiðdalsvík Airport
12826,DJU,Djúpivogur Airport
12827,EGS,Egilsstaðir Airport
12829,FAS,Fáskrúðsfjörður Airport
12831,FAG,Fagurhólsmýri Airport
12834,GUU,Grundarfjörður Airport
